timestamp,ip,req_per_IP_5min,error_ratio_per_IP,unique_UA_per_IP,size,Label
2019-01-22 04:30:26,17.58.102.43,10.0,0.0,1.0,0,0
2019-01-22 04:30:26,54.36.149.18,1.0,0.0,1.0,34575,0
2019-01-22 04:30:26,54.36.149.68,1.0,0.0,1.0,34969,0
2019-01-22 04:30:26,89.199.165.30,1.0,0.0,1.0,16222,0
2019-01-22 04:30:27,66.249.66.194,151.0,0.0,3.0,22155,0
2019-01-22 04:30:27,66.249.66.91,105.0,0.0,2.0,40087,0
2019-01-22 04:30:28,51.15.15.54,9.0,0.0,1.0,19533,0
2019-01-22 04:30:28,17.58.102.43,11.0,0.0,1.0,37215,0
2019-01-22 04:30:29,54.36.148.216,1.0,0.0,1.0,42457,0
2019-01-22 04:30:29,66.249.66.91,105.0,0.0,2.0,40140,0
2019-01-22 04:30:29,66.249.66.194,149.0,0.0,3.0,18988,0
2019-01-22 04:30:31,113.190.10.45,2.0,1.0,2.0,2285,0
2019-01-22 04:30:31,172.20.2.174,9.0,0.0,1.0,4,0
2019-01-22 04:30:32,5.112.236.19,28.0,0.0,1.0,7146,0
2019-01-22 04:30:32,5.112.236.19,29.0,0.0,1.0,4859,0
2019-01-22 04:30:32,5.112.236.19,30.0,0.0,1.0,3863,0
2019-01-22 04:30:32,5.112.236.19,31.0,0.0,1.0,62894,0
2019-01-22 04:30:32,54.36.148.82,1.0,0.0,1.0,30166,0
2019-01-22 04:30:32,66.249.66.194,147.0,0.0,3.0,40201,0
2019-01-22 04:30:33,66.249.66.91,105.0,0.0,2.0,37791,0
2019-01-22 04:30:33,192.15.81.106,1.0,0.0,1.0,3431,0
2019-01-22 04:30:34,83.121.159.152,2.0,0.0,1.0,4167,0
2019-01-22 04:30:34,207.46.13.136,43.0,0.0,1.0,41932,0
2019-01-22 04:30:34,69.162.124.229,2.0,0.0,1.0,0,0
2019-01-22 04:30:34,66.249.66.194,147.0,0.0,3.0,16675,0
2019-01-22 04:30:34,66.249.66.91,105.0,0.0,2.0,39742,0
2019-01-22 04:30:35,204.18.175.72,68.0,0.0,1.0,4392,0
2019-01-22 04:30:35,204.18.175.72,69.0,0.0,1.0,4709,0
2019-01-22 04:30:35,63.143.42.243,1.0,0.0,1.0,0,0
2019-01-22 04:30:35,69.162.124.229,2.0,0.0,1.0,0,0
2019-01-22 04:30:35,66.249.66.194,147.0,0.0,3.0,18623,0
2019-01-22 04:30:36,66.249.66.91,106.0,0.0,2.0,41882,0
2019-01-22 04:30:36,66.249.66.194,148.0,0.0,3.0,33581,0
2019-01-22 04:30:36,204.18.175.72,70.0,0.0,1.0,4778,0
2019-01-22 04:30:36,66.249.66.194,149.0,0.0,3.0,0,0
2019-01-22 04:30:36,204.18.175.72,71.0,0.0,1.0,4778,0
2019-01-22 04:30:36,54.36.148.211,1.0,0.0,1.0,31486,0
2019-01-22 04:30:37,83.121.159.152,3.0,0.0,1.0,4377,0
2019-01-22 04:30:38,204.18.175.72,72.0,0.0,1.0,41409,0
2019-01-22 04:30:39,66.249.66.194,149.0,0.0,3.0,26656,0
2019-01-22 04:30:40,66.249.66.194,150.0,0.0,3.0,19053,0
2019-01-22 04:30:40,204.18.175.72,73.0,0.0,1.0,248027,0
2019-01-22 04:30:40,83.122.171.225,7.0,0.0,1.0,3265,0
